index,Date,TimePeriod,MortgageRateJumboFixed
0,2011-06-01,06:00,
1,2011-06-01,07:00,
2,2011-06-01,08:00,5.0
3,2011-06-01,09:00,4.95
4,2011-06-01,10:00,4.88
5,2011-06-01,11:00,4.85
6,2011-06-01,12:00,4.87
7,2011-06-01,13:00,4.85
8,2011-06-01,14:00,4.81
9,2011-06-01,15:00,4.88
10,2011-06-01,16:00,
11,2011-06-01,17:00,4.98
12,2011-06-02,06:00,
13,2011-06-02,07:00,4.88
14,2011-06-02,08:00,4.87
15,2011-06-02,09:00,4.89
16,2011-06-02,10:00,
17,2011-06-02,11:00,4.82
18,2011-06-02,12:00,4.8
19,2011-06-02,13:00,4.87
20,2011-06-02,14:00,4.88
21,2011-06-02,15:00,
22,2011-06-02,16:00,4.85
23,2011-06-02,17:00,
24,2011-06-03,06:00,
25,2011-06-03,07:00,
26,2011-06-03,08:00,
27,2011-06-03,09:00,
28,2011-06-03,10:00,
29,2011-06-03,11:00,4.96
30,2011-06-03,12:00,4.99
31,2011-06-03,13:00,4.92
32,2011-06-03,14:00,4.92
33,2011-06-03,15:00,
34,2011-06-03,16:00,
35,2011-06-03,17:00,
36,2011-06-06,06:00,
37,2011-06-06,07:00,4.9
38,2011-06-06,08:00,
39,2011-06-06,09:00,4.87
40,2011-06-06,10:00,4.86
41,2011-06-06,11:00,4.94
42,2011-06-06,12:00,
43,2011-06-06,13:00,4.94
44,2011-06-06,14:00,
45,2011-06-06,15:00,
46,2011-06-06,16:00,4.96
47,2011-06-06,17:00,4.89
48,2011-06-07,06:00,
49,2011-06-07,07:00,
50,2011-06-07,08:00,
51,2011-06-07,09:00,5.0
52,2011-06-07,10:00,4.96
53,2011-06-07,11:00,4.93
54,2011-06-07,12:00,4.96
55,2011-06-07,13:00,4.93
56,2011-06-07,14:00,4.96
57,2011-06-07,15:00,4.88
58,2011-06-07,16:00,4.95
59,2011-06-07,17:00,
60,2011-06-08,06:00,
61,2011-06-08,07:00,
62,2011-06-08,08:00,
63,2011-06-08,09:00,4.89
64,2011-06-08,10:00,4.87
65,2011-06-08,11:00,4.84
66,2011-06-08,12:00,4.83
67,2011-06-08,13:00,4.86
68,2011-06-08,14:00,4.83
69,2011-06-08,15:00,
70,2011-06-08,16:00,4.88
71,2011-06-08,17:00,4.89
72,2011-06-09,06:00,
73,2011-06-09,07:00,
74,2011-06-09,08:00,4.83
75,2011-06-09,09:00,4.82
76,2011-06-09,10:00,4.82
77,2011-06-09,11:00,4.84
78,2011-06-09,12:00,4.84
79,2011-06-09,13:00,4.86
80,2011-06-09,14:00,4.84
81,2011-06-09,15:00,4.86
82,2011-06-09,16:00,4.84
83,2011-06-09,17:00,4.83
84,2011-06-10,06:00,
85,2011-06-10,07:00,
86,2011-06-10,08:00,
87,2011-06-10,09:00,4.85
88,2011-06-10,10:00,
89,2011-06-10,11:00,4.87
90,2011-06-10,12:00,
91,2011-06-10,13:00,
92,2011-06-10,14:00,
93,2011-06-10,15:00,
94,2011-06-10,16:00,
95,2011-06-10,17:00,4.72
96,2011-06-13,06:00,
97,2011-06-13,07:00,
98,2011-06-13,08:00,
99,2011-06-13,09:00,4.81
100,2011-06-13,10:00,
101,2011-06-13,11:00,4.86
102,2011-06-13,12:00,
103,2011-06-13,13:00,
104,2011-06-13,14:00,
105,2011-06-13,15:00,
106,2011-06-13,16:00,4.78
107,2011-06-13,17:00,4.77
108,2011-06-14,06:00,
109,2011-06-14,07:00,4.81
110,2011-06-14,08:00,4.78
111,2011-06-14,09:00,
112,2011-06-14,10:00,
113,2011-06-14,11:00,
114,2011-06-14,12:00,
115,2011-06-14,13:00,
116,2011-06-14,14:00,4.82
117,2011-06-14,15:00,4.87
118,2011-06-14,16:00,
119,2011-06-14,17:00,
120,2011-06-15,06:00,
121,2011-06-15,07:00,
122,2011-06-15,08:00,
123,2011-06-15,09:00,
124,2011-06-15,10:00,
125,2011-06-15,11:00,4.81
126,2011-06-15,12:00,5.12
127,2011-06-15,13:00,5.0
128,2011-06-15,14:00,4.97
129,2011-06-15,15:00,
130,2011-06-15,16:00,
131,2011-06-15,17:00,
132,2011-06-16,06:00,
133,2011-06-16,07:00,
134,2011-06-16,08:00,
135,2011-06-16,09:00,
136,2011-06-16,10:00,4.78
137,2011-06-16,11:00,4.81
138,2011-06-16,12:00,4.8
139,2011-06-16,13:00,
140,2011-06-16,14:00,
141,2011-06-16,15:00,
142,2011-06-16,16:00,
143,2011-06-16,17:00,4.9
144,2011-06-17,06:00,4.84
145,2011-06-17,07:00,4.87
146,2011-06-17,08:00,4.83
147,2011-06-17,09:00,
148,2011-06-17,10:00,4.84
149,2011-06-17,11:00,4.84
150,2011-06-17,12:00,4.91
151,2011-06-17,13:00,4.9
152,2011-06-17,14:00,5.03
153,2011-06-17,15:00,5.12
154,2011-06-17,16:00,
155,2011-06-17,17:00,5.03
156,2011-06-20,06:00,4.85
157,2011-06-20,07:00,4.86
158,2011-06-20,08:00,4.87
159,2011-06-20,09:00,4.82
160,2011-06-20,10:00,4.93
161,2011-06-20,11:00,4.93
162,2011-06-20,12:00,4.92
163,2011-06-20,13:00,4.87
164,2011-06-20,14:00,4.87
165,2011-06-20,15:00,5.04
166,2011-06-20,16:00,4.89
167,2011-06-20,17:00,4.92
168,2011-06-21,06:00,4.91
169,2011-06-21,07:00,4.95
170,2011-06-21,08:00,4.96
171,2011-06-21,09:00,5.0
172,2011-06-21,10:00,5.0
173,2011-06-21,11:00,4.9
174,2011-06-21,12:00,
175,2011-06-21,13:00,4.99
176,2011-06-21,14:00,4.96
177,2011-06-21,15:00,4.98
178,2011-06-21,16:00,4.91
179,2011-06-21,17:00,4.89
180,2011-06-22,06:00,
181,2011-06-22,07:00,4.86
182,2011-06-22,08:00,4.87
183,2011-06-22,09:00,4.96
184,2011-06-22,10:00,
185,2011-06-22,11:00,4.82
186,2011-06-22,12:00,4.92
187,2011-06-22,13:00,
188,2011-06-22,14:00,4.94
189,2011-06-22,15:00,
190,2011-06-22,16:00,4.81
191,2011-06-22,17:00,4.81
192,2011-06-23,06:00,
193,2011-06-23,07:00,4.76
194,2011-06-23,08:00,4.81
195,2011-06-23,09:00,4.77
196,2011-06-23,10:00,4.81
197,2011-06-23,11:00,4.76
198,2011-06-23,12:00,4.75
199,2011-06-23,13:00,4.74
200,2011-06-23,14:00,4.85
201,2011-06-23,15:00,4.88
202,2011-06-23,16:00,4.87
203,2011-06-23,17:00,4.89
204,2011-06-24,06:00,
205,2011-06-24,07:00,4.8
206,2011-06-24,08:00,4.79
207,2011-06-24,09:00,4.79
208,2011-06-24,10:00,4.75
209,2011-06-24,11:00,4.81
210,2011-06-24,12:00,4.8
211,2011-06-24,13:00,4.7
212,2011-06-24,14:00,4.79
213,2011-06-24,15:00,4.82
214,2011-06-24,16:00,
215,2011-06-24,17:00,
216,2011-06-27,06:00,4.9
217,2011-06-27,07:00,5.07
218,2011-06-27,08:00,4.89
219,2011-06-27,09:00,4.87
220,2011-06-27,10:00,4.81
221,2011-06-27,11:00,4.86
222,2011-06-27,12:00,4.86
223,2011-06-27,13:00,4.87
224,2011-06-27,14:00,4.94
225,2011-06-27,15:00,4.78
226,2011-06-27,16:00,4.8
227,2011-06-27,17:00,4.83
228,2011-06-28,06:00,
229,2011-06-28,07:00,4.82
230,2011-06-28,08:00,4.78
231,2011-06-28,09:00,4.85
232,2011-06-28,10:00,4.83
233,2011-06-28,11:00,4.83
234,2011-06-28,12:00,4.88
235,2011-06-28,13:00,4.9
236,2011-06-28,14:00,4.96
237,2011-06-28,15:00,4.83
238,2011-06-28,16:00,4.84
239,2011-06-28,17:00,4.9
240,2011-06-29,06:00,4.87
241,2011-06-29,07:00,4.96
242,2011-06-29,08:00,
243,2011-06-29,09:00,4.91
244,2011-06-29,10:00,4.92
245,2011-06-29,11:00,5.0
246,2011-06-29,12:00,4.96
247,2011-06-29,13:00,5.01
248,2011-06-29,14:00,4.93
249,2011-06-29,15:00,4.94
250,2011-06-29,16:00,
251,2011-06-29,17:00,4.93
252,2011-06-30,06:00,
253,2011-06-30,07:00,
254,2011-06-30,08:00,
255,2011-06-30,09:00,
256,2011-06-30,10:00,4.97
257,2011-06-30,11:00,5.0
258,2011-06-30,12:00,4.97
259,2011-06-30,13:00,4.94
260,2011-06-30,14:00,4.94
261,2011-06-30,15:00,
262,2011-06-30,16:00,4.95
263,2011-06-30,17:00,
264,2011-07-01,06:00,
265,2011-07-01,07:00,4.9
266,2011-07-01,08:00,
267,2011-07-01,09:00,4.97
268,2011-07-01,10:00,
269,2011-07-01,11:00,
270,2011-07-01,12:00,
271,2011-07-01,13:00,
272,2011-07-01,14:00,4.91
273,2011-07-01,15:00,5.03
274,2011-07-01,16:00,4.98
275,2011-07-01,17:00,
276,2011-07-04,06:00,
277,2011-07-04,07:00,
278,2011-07-04,08:00,
279,2011-07-04,09:00,
280,2011-07-04,10:00,
281,2011-07-04,11:00,
282,2011-07-04,12:00,
283,2011-07-04,13:00,
284,2011-07-04,14:00,
285,2011-07-04,15:00,
286,2011-07-04,16:00,
287,2011-07-04,17:00,
288,2011-07-05,06:00,
289,2011-07-05,07:00,4.91
290,2011-07-05,08:00,4.95
291,2011-07-05,09:00,4.88
292,2011-07-05,10:00,4.91
293,2011-07-05,11:00,4.94
294,2011-07-05,12:00,4.94
295,2011-07-05,13:00,4.98
296,2011-07-05,14:00,4.99
297,2011-07-05,15:00,5.0
298,2011-07-05,16:00,4.91
299,2011-07-05,17:00,4.95
300,2011-07-06,06:00,
301,2011-07-06,07:00,5.0
302,2011-07-06,08:00,4.97
303,2011-07-06,09:00,4.97
304,2011-07-06,10:00,4.92
305,2011-07-06,11:00,4.86
306,2011-07-06,12:00,4.95
307,2011-07-06,13:00,5.04
308,2011-07-06,14:00,5.01
309,2011-07-06,15:00,5.0
310,2011-07-06,16:00,5.05
311,2011-07-06,17:00,5.03
312,2011-07-07,06:00,5.04
313,2011-07-07,07:00,4.95
314,2011-07-07,08:00,
315,2011-07-07,09:00,
316,2011-07-07,10:00,5.03
317,2011-07-07,11:00,5.01
318,2011-07-07,12:00,5.14
319,2011-07-07,13:00,5.02
320,2011-07-07,14:00,5.05
321,2011-07-07,15:00,5.12
322,2011-07-07,16:00,5.12
323,2011-07-07,17:00,4.98
324,2011-07-08,06:00,5.0
325,2011-07-08,07:00,
326,2011-07-08,08:00,4.88
327,2011-07-08,09:00,5.0
328,2011-07-08,10:00,4.94
329,2011-07-08,11:00,4.88
330,2011-07-08,12:00,4.91
331,2011-07-08,13:00,4.9
332,2011-07-08,14:00,5.03
333,2011-07-08,15:00,4.84
334,2011-07-08,16:00,4.87
335,2011-07-08,17:00,
336,2011-07-11,06:00,
337,2011-07-11,07:00,4.72
338,2011-07-11,08:00,4.72
339,2011-07-11,09:00,4.8
340,2011-07-11,10:00,4.71
341,2011-07-11,11:00,4.84
342,2011-07-11,12:00,4.91
343,2011-07-11,13:00,4.86
344,2011-07-11,14:00,4.82
345,2011-07-11,15:00,4.76
346,2011-07-11,16:00,4.96
347,2011-07-11,17:00,4.95
348,2011-07-12,06:00,
349,2011-07-12,07:00,4.82
350,2011-07-12,08:00,4.86
351,2011-07-12,09:00,4.84
352,2011-07-12,10:00,4.97
353,2011-07-12,11:00,4.87
354,2011-07-12,12:00,4.91
355,2011-07-12,13:00,4.8
